patient_id,first_name,last_name,gender,date_of_birth,nhs_number,postcode,blood_group,ethnicity,marital_status,registration_date,insurance_id
1,Terry,Taylor,Male,1994-03-21,2557855593,N64 7GY,O-,Other,Widowed,2016-10-10,2
2,Ellie,Price,Male,1975-10-31,3411667548,L32 9RY,O+,White British,Married,2021-04-26,1
3,Max,Cooper,Female,1999-10-07,6983932068,TW9X 7YU,A-,Mixed,Married,2023-08-10,1
4,Joyce,Shah,Male,1935-08-17,2318705533,N0C 5GH,B+,White British,Married,2021-01-17,1
5,Victor,Smith,Female,1944-08-25,1579353319,FY1 4ST,B-,White British,Married,2023-02-05,3
6,Jake,Cook,Male,1989-11-18,4471916731,LE44 7DG,O-,Black British,Divorced,2021-07-09,3
7,Marian,Waters,Female,1948-05-07,6683847929,B03 7XX,O+,Other,Widowed,2020-04-25,7
8,Cameron,Thornton,Female,1996-10-23,2034919201,WS92 4NJ,A+,Mixed,Widowed,2023-10-26,5
9,Glen,Walker,Female,1991-08-20,7585043934,HD2Y 0EX,AB-,Mixed,Divorced,2016-12-11,3
10,Clifford,Baker,Female,1973-08-13,7005413007,B1 8FT,A-,White British,Divorced,2023-10-25,7
11,Dawn,Bond,Male,1938-07-03,2446877368,G3 3QB,B+,White British,Widowed,2020-01-29,1
12,Geoffrey,Palmer,Male,1989-02-05,2943551033,WA4 1JQ,B+,Asian British,Married,2017-04-22,3
13,Frederick,Davidson,Male,2002-08-19,7666913057,M5T 5FR,B+,Black British,Widowed,2023-11-21,2
14,Louis,Wallace,Male,1942-08-17,3193124982,UB2A 4ZE,AB-,White British,Widowed,2025-02-21,7
15,Leon,Saunders,Female,1964-06-13,7700877039,SR05 3YD,AB+,White British,Divorced,2024-12-21,7
16,Georgina,Wallace,Male,1974-03-30,2215171179,KA9P 8HG,AB+,Asian British,Married,2018-03-15,3
17,Martyn,Smith,Female,1957-08-06,2502790368,SK6 8QJ,O+,Mixed,Single,2020-04-10,2
18,Geraldine,Richardson,Male,1964-07-18,2116485519,TQ3X 5UE,AB-,Mixed,Married,2018-06-06,2
19,Philip,Kemp,Male,1961-09-07,2300233253,L7H 0FB,A+,White British,Divorced,2018-09-13,7
20,Clive,Wilson,Female,1966-11-17,5505038136,CO7P 1UE,AB+,Other,Married,2018-01-16,1
21,Eric,Lane,Female,1944-01-06,2065325767,TR24 2RL,A+,Other,Divorced,2025-11-30,6
22,Frank,Jones,Female,1968-01-20,6242403728,N68 2LW,AB-,Black British,Married,2025-04-19,6
23,Shaun,Stevens,Male,1988-07-09,1091052654,G31 5GG,O-,Asian British,Married,2025-11-05,6
24,Leonard,Morris,Male,1947-07-26,3389669076,G9S 6EY,B+,Other,Widowed,2019-05-03,4
25,Wayne,Fletcher,Male,2003-12-20,6762560330,AB9V 4EL,A+,Asian British,Widowed,2026-04-14,1
26,Helen,Jones,Male,1987-01-15,1274504218,ML5 6PG,A+,Asian British,Widowed,2023-12-15,5
27,Hazel,Williamson,Female,1997-03-03,8447925235,L97 5HB,O-,Black British,Divorced,2025-07-16,7
28,Michael,Fisher,Female,2007-02-24,4916067359,SE1 7TU,O-,Black British,Single,2021-02-02,6
29,Dorothy,Jenkins,Male,1948-02-27,4875110867,BL7 6LY,B+,Black British,Widowed,2024-03-03,7
30,Joanna,Taylor,Female,2008-06-21,2325998239,N1F 0HE,O+,Mixed,Divorced,2020-03-31,7
31,Colin,Simpson,Female,1997-09-13,1671540053,GY6A 0ZQ,O+,Other,Single,2023-06-23,1
32,Katy,Woods,Male,1977-05-30,9597490733,L4 6QN,AB-,White British,Widowed,2023-12-17,5
33,Ashley,Metcalfe,Male,1989-07-22,7593119427,N4 3ZQ,O+,Other,Single,2019-01-23,6
34,Alan,Brown,Female,1970-01-02,5030199167,W5K 4QP,O-,Other,Divorced,2022-06-21,7
35,Elliott,Dennis,Female,1983-11-22,1939702163,DY79 5UX,O-,Asian British,Widowed,2017-07-07,6
36,Lorraine,Franklin,Female,1953-11-16,7044121502,DA0H 9ED,B+,White British,Married,2017-10-11,2
37,Carly,Moore,Male,1961-11-13,4586849097,BN7 3EZ,A-,Black British,Single,2021-03-20,6
38,Albert,Richardson,Male,2000-12-01,5961449739,PR39 4RA,A+,Other,Divorced,2026-05-25,6
39,Garry,Wilson,Male,1945-06-15,5959648650,B8A 9PQ,O-,Mixed,Single,2025-02-25,5
